,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
1,1,JAX,Trevor Lawrence,QB,21,2021,0,0,1,0,0,11,231,398,2369,9,10,45,231,2,0,0,0,,,,Clemson,College Stats
1,2,NYJ,Zach Wilson,QB,22,2021,0,0,0,0,0,7,118,205,1313,4,10,10,25,1,0,0,0,,,,BYU,College Stats
1,3,SFO,Trey Lance,QB,21,2021,0,0,0,0,0,5,25,48,354,3,1,30,137,1,0,0,0,,,,North Dakota St.,College Stats
1,4,ATL,Kyle Pitts,TE,20,2021,0,0,0,0,0,11,0,0,0,0,0,0,0,0,45,661,1,3,,,Florida,College Stats
1,5,CIN,Ja'Marr Chase,WR,21,2021,0,0,1,0,0,11,0,0,0,0,0,6,15,0,50,906,8,1,,,LSU,College Stats
1,6,MIA,Jaylen Waddle,WR,22,2021,0,0,1,0,0,12,0,0,0,0,0,2,3,1,77,759,4,3,,,Alabama,College Stats
1,7,DET,Penei Sewell,OL,20,2021,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,,,,Oregon,College Stats
1,8,CAR,Jaycee Horn,DB,21,2021,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,,South Carolina,College Stats
1,9,DEN,Patrick Surtain II,DB,21,2021,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,31,3,,Alabama,College Stats
1,10,PHI,DeVonta Smith,WR,22,2021,0,0,1,0,0,12,0,0,0,0,0,0,0,0,48,686,4,1,,,Alabama,College Stats
1,11,CHI,Justin Fields,QB,22,2021,0,0,0,0,0,10,115,198,1361,4,8,56,311,2,0,0,0,,,,Ohio St.,College Stats
1,12,DAL,Micah Parsons,LB,22,2021,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,54,,10,Penn St.,College Stats
1,13,LAC,Rashawn Slater,OL,22,2021,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,,,,Northwestern,College Stats
1,14,NYJ,Alijah Vera-Tucker,OL,22,2021,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,,,,USC,College Stats
1,15,NWE,Mac Jones,QB,23,2021,0,0,1,0,0,12,268,381,2850,16,8,27,71,0,0,0,0,1,,,Alabama,College Stats
1,16,ARI,Zaven Collins,LB,22,2021,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,12,,,Tulsa,College Stats
1,17,LVR,Alex Leatherwood,OL,22,2021,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama,College Stats
1,18,MIA,Jaelan Phillips,DL,22,2021,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,17,,6.5,Miami (FL),College Stats
1,19,WAS,Jamin Davis,LB,22,2021,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,32,,,Kentucky,College Stats
1,20,NYG,Kadarius Toney,WR,22,2021,0,0,0,0,0,9,1,3,19,0,0,3,6,0,35,392,0,,,,Florida,College Stats
1,21,IND,Kwity Paye,DL,22,2021,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,13,,3,Michigan,College Stats
1,22,TEN,Caleb Farley,DB,22,2021,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,,,Virginia Tech,College Stats
1,23,MIN,Christian Darrisaw,OL,22,2021,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,,,Virginia Tech,College Stats
1,24,PIT,Najee Harris,RB,23,2021,0,0,1,0,0,11,0,0,0,0,0,196,708,5,52,351,2,1,,,Alabama,College Stats
1,25,JAX,Travis Etienne,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,Clemson,College Stats
1,26,CLE,Greg Newsome II,DB,21,2021,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,24,,,Northwestern,College Stats
1,27,BAL,Rashod Bateman,WR,21,2021,0,0,0,0,0,6,0,0,0,0,0,0,0,0,25,301,0,,,,Minnesota,College Stats
1,28,NOR,Payton Turner,DE,23,2021,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9,,1,Houston,College Stats
1,29,GNB,Eric Stokes,DB,22,2021,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,29,1,,Georgia,College Stats
1,30,BUF,Gregory Rousseau,DL,21,2021,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,29,1,3,Miami (FL),College Stats
1,31,BAL,Odafe Oweh,DE,22,2021,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,17,,5,Penn St.,College Stats
1,32,TAM,Joe Tryon-Shoyinka,OLB,22,2021,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,14,,3,Washington,College Stats
2,33,JAX,Tyson Campbell,DB,21,2021,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,30,1,,Georgia,College Stats
2,34,NYJ,Elijah Moore,WR,21,2021,0,0,0,0,0,10,0,0,0,0,0,4,45,1,37,461,4,3,,,Mississippi,College Stats
2,35,DEN,Javonte Williams,RB,21,2021,0,0,0,0,0,11,0,0,0,0,0,117,568,2,27,193,1,1,,,North Carolina,College Stats
2,36,MIA,Jevon Holland,S,21,2021,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,35,2,2,Oregon,College Stats
2,37,PHI,Landon Dickerson,OL,22,2021,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama,College Stats
2,38,NWE,Christian Barmore,DL,22,2021,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,16,,0.5,Alabama,College Stats
2,39,CHI,Teven Jenkins,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,Oklahoma St.,College Stats
2,40,ATL,Richie Grant,DB,23,2021,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,20,,,Central Florida,College Stats
2,41,DET,Levi Onwuzurike,DL,23,2021,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,,1,Washington,College Stats
2,42,MIA,Liam Eichenberg,OL,23,2021,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,College Stats
2,43,LVR,Trevon Moehrig,S,22,2021,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,24,1,,TCU,College Stats
2,44,DAL,Kelvin Joseph,DB,20,2021,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,Kentucky,College Stats
2,45,JAX,Walker Little,T,22,2021,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,Stanford,College Stats
2,46,CIN,Jackson Carman,T,21,2021,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,,,,Clemson,College Stats
2,47,LAC,Asante Samuel Jr.,DB,21,2021,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,24,2,,Florida St.,College Stats
2,48,SFO,Aaron Banks,OL,24,2021,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,College Stats
2,49,ARI,Rondale Moore,WR,21,2021,0,0,0,0,0,11,0,0,0,0,0,12,62,0,47,413,1,1,,,Purdue,College Stats
2,50,NYG,Azeez Ojulari,OLB,21,2021,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,19,,5.5,Georgia,College Stats
2,51,WAS,Samuel Cosmi,OL,22,2021,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,Texas,College Stats
2,52,CLE,Jeremiah Owusu-Koramoah,LB,21,2021,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,33,,1,Notre Dame,College Stats
2,53,TEN,Dillon Radunz,T,23,2021,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,,,North Dakota St.,
2,54,IND,Dayo Odeyingbo,DL,21,2021,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,,0.5,Vanderbilt,College Stats
2,55,PIT,Pat Freiermuth,TE,22,2021,0,0,0,0,0,11,0,0,0,0,0,0,0,0,40,327,6,,,,Penn St.,College Stats
2,56,SEA,D'Wayne Eskridge,WR,24,2021,0,0,0,0,0,4,0,0,0,0,0,2,22,0,4,12,0,,,,Western Michigan,College Stats
2,57,LAR,Tutu Atwell,WR,21,2021,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,,,Louisville,College Stats
2,58,KAN,Nick Bolton,LB,21,2021,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,50,,,Missouri,College Stats
2,59,CAR,Terrace Marshall Jr.,WR,21,2021,0,0,0,0,0,9,0,0,0,0,0,0,0,0,14,116,0,,,,LSU,College Stats
2,60,NOR,Pete Werner,LB,22,2021,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,27,,,Ohio St.,College Stats
2,61,BUF,Carlos Basham,DL,23,2021,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,,1.5,Wake Forest,College Stats
2,62,GNB,Josh Myers,C,23,2021,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.,College Stats
2,63,KAN,Creed Humphrey,OL,22,2021,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,,,Oklahoma,College Stats
2,64,TAM,Kyle Trask,QB,23,,0,0,0,,,,,,,,,,,,,,,,,,Florida,College Stats
3,65,JAX,Andre Cisco,DB,21,2021,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,7,,,Syracuse,College Stats
3,66,MIN,Kellen Mond,QB,22,,0,0,0,,,,,,,,,,,,,,,,,,Texas A&M,College Stats
3,67,HOU,Davis Mills,QB,22,2021,0,0,0,0,0,7,140,209,1357,7,8,7,8,0,0,0,0,,,,Stanford,College Stats
3,68,ATL,Jalen Mayfield,OL,21,2021,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan,College Stats
3,69,CIN,Joseph Ossai,LB,21,,0,0,0,,,,,,,,,,,,,,,,,,Texas,College Stats
3,70,CAR,Brady Christensen,OL,24,2021,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,,,BYU,College Stats
3,71,NYG,Aaron Robinson,DB,23,2021,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,,,Central Florida,College Stats
3,72,DET,Alim McNeill,DT,21,2021,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,9,,,North Carolina St.,College Stats
3,73,PHI,Milton Williams,DL,22,2021,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,9,,1,Louisiana Tech,College Stats
3,74,WAS,Benjamin St-Juste,DB,23,2021,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,20,,,Minnesota,College Stats
3,75,DAL,Osa Odighizuwa,DL,23,2021,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,16,,2,UCLA,College Stats
3,76,NOR,Paulson Adebo,CB,22,2021,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,37,2,,Stanford,College Stats
3,77,LAC,Josh Palmer,WR,22,2021,0,0,0,0,0,11,0,0,0,0,0,1,6,0,15,168,1,,,,Tennessee,College Stats
3,78,MIN,Chazz Surratt,LB,24,2021,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,North Carolina,College Stats
3,79,LVR,Malcolm Koonce,DE,23,,0,0,0,,,,,,,,,,,,,,,,,,Buffalo,College Stats
3,80,LVR,Divine Deablo,DB,23,2021,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2,,,Virginia Tech,College Stats
3,81,MIA,Hunter Long,TE,23,2021,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,Boston Col.,College Stats
3,82,WAS,Dyami Brown,WR,21,2021,0,0,0,0,0,9,0,0,0,0,0,1,-4,0,8,81,0,,,,North Carolina,College Stats
3,83,CAR,Tommy Tremble,TE,21,2021,0,0,0,0,0,12,0,0,0,0,0,2,7,1,13,120,1,1,,,Notre Dame,College Stats
3,84,DAL,Chauncey Golston,DL,23,2021,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,12,,0.5,Iowa,College Stats
3,85,GNB,Amari Rodgers,WR,21,2021,0,0,0,0,0,12,0,0,0,0,0,1,11,0,3,40,0,2,,,Clemson,College Stats
3,86,MIN,Wyatt Davis,OL,22,2021,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.,College Stats
3,87,PIT,Kendrick Green,OL,22,2021,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,,,,Illinois,College Stats
3,88,SFO,Trey Sermon,RB,22,2021,0,0,0,0,0,9,0,0,0,0,0,41,167,1,3,26,0,1,,,Ohio St.,College Stats
3,89,HOU,Nico Collins,WR,22,2021,0,0,0,0,0,8,0,0,0,0,0,0,0,0,18,228,0,1,,,Michigan,College Stats
3,90,MIN,Patrick Jones II,DL,22,2021,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,,,Pittsburgh,College Stats
3,91,CLE,Anthony Schwartz,WR,21,2021,0,0,0,0,0,10,0,0,0,0,0,3,12,0,8,117,0,1,,,Auburn,College Stats
3,92,TEN,Monty Rice,LB,22,2021,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,17,,,Georgia,College Stats
3,93,BUF,Spencer Brown,OL,23,2021,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,,,Northern Iowa,
3,94,BAL,Ben Cleveland,OL,23,2021,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia,College Stats
3,95,TAM,Robert Hainsey,OL,23,2021,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,College Stats
3,96,NWE,Ronnie Perkins,DE,21,,0,0,0,,,,,,,,,,,,,,,,,,Oklahoma,College Stats
3,97,LAC,Tre' McKitty,TE,22,2021,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,7,0,,,,Georgia,College Stats
