,,,,,Games,,Passing,,,,,Rushing,,,,Receiving,,,,,Fumbles,,Scoring,,,Fantasy,,,,,,
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
1,Jonathan Taylor,IND,RB,22,12,12,0,0,0,0,0,209,1205,5.77,14,43,36,336,9.33,2,3,1,16,,,248,284.1,291.1,266.1,152,1,1
2,Cooper Kupp,LAR,WR,28,11,11,0,1,0,0,0,1,-5,-5,0,126,92,1237,13.45,10,0,0,10,1,,185,277.2,280.2,231.2,97,1,2
3,Austin Ekeler,LAC,RB,26,11,11,0,0,0,0,0,135,604,4.47,7,66,51,473,9.27,7,2,1,14,1,,192,242.7,249.7,217.2,96,2,3
4,Joe Mixon,CIN,RB,25,11,11,0,0,0,0,0,208,924,4.44,11,30,26,192,7.38,2,1,0,13,,,190,215.6,221.6,202.6,94,3,4
5,Deebo Samuel,SFO,WR,25,11,11,0,0,0,0,0,25,203,8.12,5,92,56,1006,17.96,5,2,2,10,,,177,232.9,240.9,204.9,89,2,5
6,Derrick Henry,TEN,RB,27,8,8,1,1,5,1,0,219,937,4.28,10,20,18,154,8.56,0,1,0,10,1,,175,193.3,199.3,184.3,80,4,6
7,Josh Allen,BUF,QB,25,11,11,274,410,3071,25,10,69,383,5.55,3,0,0,0,,0,6,2,3,2,,259,259.1,277.1,269.1,69,1,7
8,Jalen Hurts,PHI,QB,23,12,12,211,351,2435,13,8,122,695,5.7,8,1,0,0,,0,6,1,8,,3,255,254.9,269.9,262.9,65,2,8
9,Tyreek Hill,KAN,WR,27,11,11,0,0,0,0,0,8,94,11.75,0,122,84,932,11.1,8,2,1,8,,,149,232.6,236.6,190.6,60,3,9
10,Justin Herbert,LAC,QB,23,11,11,289,438,3230,24,10,43,243,5.65,2,0,0,0,,0,1,1,2,,3,246,245.5,262.5,255.5,56,3,10
11,Tom Brady,TAM,QB,44,11,11,309,457,3403,30,9,18,53,2.94,1,0,0,0,,0,3,2,1,,,245,245.4,259.4,254.4,56,4,11
12,Ezekiel Elliott,DAL,RB,26,11,11,1,1,4,0,0,160,720,4.5,8,46,38,228,6,1,1,1,9,2,,151,189,196,170,55,5,12
13,James Conner,ARI,RB,26,11,2,0,0,0,0,0,146,555,3.8,12,20,18,173,9.61,1,2,0,13,,,151,168.8,174.8,159.8,55,6,13
14,Travis Kelce,KAN,TE,32,11,11,0,0,0,0,0,1,4,4,1,97,67,821,12.25,5,1,1,6,,,117,183.5,187.5,150,53,1,14
15,Najee Harris,PIT,RB,23,11,11,0,0,0,0,0,196,708,3.61,5,67,52,351,6.75,2,0,0,7,,,148,199.9,205.9,173.9,52,7,15
16,Justin Jefferson,MIN,WR,22,11,11,2,3,35,0,0,3,10,3.33,0,98,67,1027,15.33,6,1,1,6,,,139,206.1,210.1,172.6,51,4,16
17,Davante Adams,GNB,WR,29,11,11,0,0,0,0,0,0,0,,0,115,80,1083,13.54,5,0,0,5,,,138,218.3,221.3,178.3,50,5,17
18,Ja'Marr Chase,CIN,WR,21,11,11,0,0,0,0,0,6,15,2.5,0,82,50,906,18.12,8,2,1,8,,,138,188.1,192.1,163.1,50,6,18
19,Leonard Fournette,TAM,RB,26,11,10,0,1,0,0,0,139,621,4.47,7,62,51,354,6.94,1,1,0,8,,,146,196.5,202.5,171,50,8,19
20,Cordarrelle Patterson,ATL,RB,30,10,7,0,1,0,0,0,93,411,4.42,4,52,41,500,12.2,5,2,0,9,,,145,186.1,192.1,165.6,49,9,20
21,Mark Andrews,BAL,TE,26,11,5,0,0,0,0,0,0,0,,0,89,60,761,12.68,5,1,0,5,2,,110,170.1,173.1,140.1,47,2,21
22,Mike Evans,TAM,WR,28,11,11,0,0,0,0,0,1,10,10,0,82,50,695,13.9,10,0,0,10,,,131,180.5,183.5,155.5,42,7,22
23,Nick Chubb,CLE,RB,26,9,9,0,0,0,0,0,150,867,5.78,6,14,12,106,8.83,1,2,1,7,,,137,149.3,156.3,143.3,42,10,23
24,Adam Thielen,MIN,WR,31,11,11,0,0,0,0,0,1,2,2,0,90,63,686,10.89,10,1,0,10,,,129,191.8,194.8,160.3,41,8,24
25,Patrick Mahomes,KAN,QB,26,11,11,294,449,3200,25,11,44,238,5.41,1,0,0,0,,0,6,3,1,,,230,229.8,249.8,240.8,40,5,25
26,Matthew Stafford,LAR,QB,33,11,11,266,400,3316,27,9,24,37,1.54,0,0,0,0,,0,2,1,0,,2,228,228.3,241.3,237.3,38,6,26
27,Stefon Diggs,BUF,WR,28,11,11,0,0,0,0,0,0,0,,0,101,67,847,12.64,7,1,0,7,,,127,193.7,196.7,160.2,38,9,27
28,D'Andre Swift,DET,RB,22,11,3,0,1,0,0,0,140,555,3.96,4,70,56,429,7.66,2,2,1,6,,,132,188.4,195.4,160.4,37,11,28
29,Aaron Rodgers,GNB,QB,38,11,11,247,373,2878,23,4,24,76,3.17,3,1,1,-4,-4,0,2,0,3,,,224,225.3,232.3,228.8,34,7,29
30,Darrell Henderson,LAR,RB,24,10,10,0,0,0,0,0,142,648,4.56,5,38,27,172,6.37,3,0,0,8,,,130,157,163,143.5,34,12,30
31,Lamar Jackson,BAL,QB,24,10,10,219,341,2612,15,12,123,707,5.75,2,0,0,0,,0,5,3,2,,2,221,221.2,242.2,233.2,31,8,31
32,Aaron Jones,GNB,RB,27,11,11,0,0,0,0,0,133,564,4.24,3,48,37,298,8.05,4,2,1,7,,,126,163.2,170.2,144.7,30,13,32
33,Alvin Kamara,NOR,RB,26,8,7,0,0,0,0,0,146,530,3.63,3,44,32,310,9.69,4,0,0,7,,,126,158,164,142,30,14,33
34,Mike Williams,LAC,WR,27,11,9,0,0,0,0,0,0,0,,0,86,50,744,14.88,7,0,0,7,1,,118,168.4,171.4,143.4,30,10,34
35,James Robinson,JAX,RB,23,10,9,0,0,0,0,0,129,654,5.07,7,36,27,198,7.33,0,3,1,7,,,125,152.2,159.2,138.7,29,15,35
36,Kirk Cousins,MIN,QB,33,11,11,275,406,3013,23,3,18,69,3.83,1,0,0,0,,0,6,1,1,,,217,217.4,224.4,220.4,28,9,36
37,Chris Godwin,TAM,WR,25,11,11,0,0,0,0,0,3,12,4,1,88,67,806,12.03,5,2,2,6,,,114,180.8,185.8,147.3,26,11,37
38,Marquise Brown,BAL,WR,24,10,10,0,0,0,0,0,1,5,5,0,92,60,770,12.83,6,2,0,6,,,114,173.5,176.5,143.5,25,12,38
39,CeeDee Lamb,DAL,WR,22,10,10,0,0,0,0,0,5,30,6,0,77,50,740,14.8,6,0,0,6,,,113,163,166,138,25,13,39
40,Dalvin Cook,MIN,RB,26,9,9,0,0,0,0,0,171,773,4.52,4,39,27,202,7.48,0,3,2,4,1,,120,146.5,154.5,133,24,16,40
41,D.K. Metcalf,SEA,WR,24,10,10,0,0,0,0,0,0,0,,0,72,46,637,13.85,8,1,0,8,,,112,157.7,160.7,134.7,23,14,41
42,Michael Pittman Jr.,IND,WR,24,12,12,0,0,0,0,0,2,8,4,0,91,61,805,13.2,5,1,0,5,,,111,172.3,175.3,141.8,23,15,42
43,D.J. Moore,CAR,WR,24,12,12,0,0,0,0,0,7,35,5,0,112,66,854,12.94,4,1,1,4,,,111,176.9,180.9,143.9,23,16,43
44,Dawson Knox,BUF,TE,25,9,8,0,0,0,0,0,0,0,,0,41,31,415,13.39,7,0,0,7,,1,86,116.5,119.5,101,22,3,44
45,Damien Harris,NWE,RB,24,11,11,0,0,0,0,0,154,643,4.18,8,15,13,84,6.46,0,2,2,8,,,117,129.7,134.7,123.2,21,17,45
46,Melvin Gordon,DEN,RB,28,11,11,0,0,0,0,0,135,605,4.48,5,30,22,166,7.55,2,2,2,7,,,115,137.1,145.1,126.1,19,18,46
47,Hunter Henry,NWE,TE,27,12,7,0,0,0,0,0,0,0,,0,50,35,394,11.26,7,0,0,7,,,81,116.4,119.4,98.9,18,4,47
48,Diontae Johnson,PIT,WR,25,10,9,0,0,0,0,0,3,36,12,0,109,68,809,11.9,4,1,1,4,,,107,174.5,178.5,140.5,18,17,48
49,Dalton Schultz,DAL,TE,25,11,11,0,0,0,0,0,0,0,,0,66,47,537,11.43,4,0,0,4,1,,80,126.7,129.7,103.2,17,5,49
50,Terry McLaurin,WAS,WR,26,10,10,0,0,0,0,0,1,12,12,0,91,54,735,13.61,5,0,0,5,,,105,158.7,161.7,131.7,16,18,50
51,Jaylen Waddle,MIA,WR,23,12,12,0,0,0,0,0,2,3,1.5,1,103,77,759,9.86,4,2,1,5,,,104,181.2,185.2,142.7,16,19,51
52,Kendrick Bourne,NWE,WR,26,12,3,1,1,25,1,0,6,78,13,0,53,42,623,14.83,5,1,1,5,,,103,145.1,149.1,124.1,15,20,52
53,Myles Gaskin,MIA,RB,24,12,9,0,0,0,0,0,139,482,3.47,3,54,43,212,4.93,4,2,1,7,,,109,152.4,159.4,130.9,14,19,53
54,Keenan Allen,LAC,WR,29,11,11,0,0,0,0,0,0,0,,0,116,81,895,11.05,2,1,0,2,,,102,182.5,185.5,142,13,21,54
55,Darren Waller,LVR,TE,29,10,10,0,0,0,0,0,0,0,,0,84,53,643,12.13,2,0,0,2,,,76,129.3,132.3,102.8,13,6,55
56,Zach Ertz,2TM,TE,31,11,8,0,0,0,0,0,1,4,4,0,60,40,458,11.45,5,0,0,5,,,76,116.2,119.2,96.2,13,7,56
57,Dak Prescott,DAL,QB,28,10,10,261,376,2932,22,7,27,94,3.48,1,0,0,0,,0,8,4,1,1,1,203,202.7,216.7,209.7,13,10,57
58,Carson Wentz,IND,QB,29,12,12,250,398,2790,21,5,38,159,4.18,1,0,0,0,,0,7,4,1,,1,202,201.5,216.5,206.5,12,11,58
59,Mike Gesicki,MIA,TE,26,12,6,0,0,0,0,0,0,0,,0,79,52,596,11.46,2,0,0,2,1,,74,125.6,128.6,99.6,11,8,59
60,T.J. Hockenson,DET,TE,24,11,11,0,0,0,0,0,0,0,,0,76,57,534,9.37,3,0,0,3,1,,73,130.4,133.4,101.9,10,9,60
61,Antonio Gibson,WAS,RB,23,10,9,0,0,0,0,0,154,601,3.9,5,23,19,158,8.32,1,5,3,6,,,106,124.9,133.9,115.4,10,20,61
62,Kyle Pitts,ATL,TE,21,11,10,0,0,0,0,0,0,0,,0,75,45,661,14.69,1,0,0,1,,,72,117.1,120.1,94.6,9,10,62
